I003,CAIXA,"12""","17 x 12""",$ 2.340,
I004,REBOLO ARO CONFORTAVEL (CÔNICO),"10""","45 x 10""",$ 3.765,
I005,REBOLO ARO CONFORTÁVEL (CÔNICO),"11""","50 x 11""",$ 4.016,
I006,REBOLO ARO CONFORTÁVEL (CÔNICO),"12""","45 x 12""",$ 4.141,
I007,REBOLO ARO CONFORTÁVEL (CÔNICO),"12""","55 x 12""",$ 4.266,
I008,REBOLO ARO CONFORTÁVEL (CÔNICO),"14""","55 x 14""",$ 4.704,
I009,REPIQUE DE ANEL DUPLA AFINAÇÃO (ARO CONFORTAVEL),"12""","30 x 12""",$ 4.297,
I010,REPIQUE DE MÃO (ARO CONFORTÁVEL),"10""","30 x 10""",$ 2.786,
I011,REPIQUE DE MÃO (ARO CONFORTÁVEL),"11""","30 x 11""",$ 2.930,
I012,REPIQUE,"12""","30 x 12""",$ 2.355,
I013,CUÍCA LUXO,"6,5""","20 x 6,5""",$ 3.146,
I014,CUÍCA LUXO,"8""","   27 x 8"" ",$ 4.454,
I015,CUÍCA LUXO,"9.5""","30 x 9,5""",$ 4.704,
I016,Cuíca Luxo Aço Inox,"6""",,$ 700,
I016,CUÍCA LUXO,"10""","30 x 10""",$ 4.829,
I017,FRIGIDEIRA COM BAQUETA,"6""","3 x 6""",$ 2.227,
I018,SURDO,"16""","50 x 16""",$ 4.942,
I019,SURDO,"18""","50 x 18""",$ 5.187,
I020,SURDO,"20""","50 x 20""",$ 5.719,
I021,"SURDO 16"" AÇO INOX COM TRIPÉ","16""","50 x 16""",$ 6.718,
I022,"SURDO 18"" AÇO INOX COM TRIPÉ","18""","50 x 18""",$ 7.443,
I023,"SURDO 20"" AÇO INOX COM TRIPÉ","20""","50 x 20""",$ 7.731,
I024,TANTAN ARO CONFORTÁVEL (RETO),"12""","45 x 12""",$ 4.116,
I025,TANTAN ARO CONFORTÁVEL (RETO),"14""","70 x 14""",$ 4.585,
I033,RECO - RECO  AÇO INOX (03 MOLAS),,,$ 1.313,
I034,RECO - RECO  AÇO INOX (04 MOLAS),,,$ 1.376,
I035,TIMBAL ARO CONFORTAVEL (CÔNICO),"14""","90 x 14""",$ 6.724,
,TANMBORIM AÇO BAIXO,,,$ 1.313,
,TAMBORIM AÇO ALTO,,,$ 1.438,
I036,AGOGÔ 2 BOCAS,,,$ 1.479,
I037,AGOGÔ 4 BOCAS,,,$ 3.503,
INSTRUMENTOS EM MADEIRA,,,,,categoria
M001,REBOLO DE MADEIRA,"10""","50 x 10""",$ 3.578,
M002,REBOLO DE MADEIRA,"11""","50 x 11""",$ 3.866,
M003,REBOLO DE MADEIRA,"12""","55 x 12""",$ 4.153,
M004,SURDO DE MADEIRA ,"16""","60 x 16""",$ 7.156,
M005,SURDO DE MADEIRA ,"18""","60 x 18""",$ 7.731,
M006,SURDO DE MADEIRA ,"20""","60 x 20""",$ 8.019,
M007,PANDEIRO DE MADEIRA (platinela em latão),"10""","4 x 10""",$ 3.878,
M008,PANDEIRO DE MADEIRA (platinela em latão),"11""","4 x 11""",$ 4.003,
M009,PANDEIRO DE MADEIRA (platinela em latão),"12""","4 x 12""",$ 4.128,
"INSTRUMENTOS COLORIDAS - AZUL, PRETO, BRANCO, AMARELO, VERMELHO, VERDE",,,,,categoria
C001,"SURDO 16"" AÇO INOX COM TRIPÉ","16""","50 x 16""",$ 7.468,
C002,"SURDO 18"" AÇO INOX COM TRIPÉ","18""","50 x 18""",$ 8.194,
C003,"SURDO 20"" AÇO INOX COM TRIPÉ","20""","50 x 20""",$ 8.482,
C004,"REPIQUE DE MÃO 10"" ALUMÍNIO","10""","30 x 10""",$ 2.946,
C005,"REPIQUE DE MÃO 11"" ALUMÍNIO","11""","30 x 11""",$ 3.018,
C006,"REPIQUE DE ANEL 12"" ALUMÍNIO","12""","30 x 12""",$ 4.673,
C007,REPINIQUE DURO ALUMÍNIO,"12""","30 x 12""",$ 2.510,
C008,"CAIXA 12"" ALUMÍNIO", 12”,"20 x 12""",$ 2.437,
C009,RECO - RECO EM ALUMÍNIO (03 MOLAS),,,$ 1.407,
C010,RECO - RECO EM ALUMÍNIO (04 MOLAS),,,$ 1.479,
C011,"REBOLO 10"" ALUMÍNIO","10""","45 x 10""",$ 3.647,
C012,"REBOLO 11"" ALUMÍNIO","11""","50 x 11""",$ 3.790,
C013,"REBOLO 12"" ALUMÍNIO","12""","45 x 12""",$ 4.078,
C014,"REBOLO 55cm x 12"" ALUMÍNIO","12""","55 x 12""",$ 4.366,
C015,"TANTAN 12"" ALUMÍNIO","12""","45 x 12""",$ 4.366,
C016,"TANTAN 14"" ALUMÍNIO","14""","70 x 14""",$ 5.192,
C017,TIMBAL ARO CONFORTAVEL (CÔNICO),"14""","90 x 14""",$ 7.593,
INSTRUMENTOS VAZADOS,,,,,categoria
V001,"CAIXA 10"" VAZADA","10""","20 x 10""",$ 1.995,
V002,"CAIXA 12"" VAZADA","12""","20 x 12""",$ 2.283,
V003,"REPINIQUE 12"" VAZADA","12""","30 x 12""",$ 2.283,
V004,"CUÍCA 8"" VAZADA","8""","30 x 8""",$ 4.454,
,TAROL  VAZADO,12,,$ 2.101,
V005,"CUÍCA 9,5"" VAZADA","9,5""","30 x 9,5""",$ 4.704,
INSTRUMENTOS GALVANIZADOS,,,,,categoria
G001,"SURDO 14"" GALVANIZADO  (2 NYLONS)","14""","50 x 14""",$ 3.223,
G002,"SURDO 16"" GALVANIZADO  (2 NYLONS)","16""","50 x 16""",$ 3.392,
G003,"SURDO 18"" GALVANIZADO  (2 NYLON)","18""","50 x 18""",$ 4.278,
G004,"SURDO 20"" GALVANIZADO  (2 NYLON)","20""","50 x 20""",$ 4.422,
G005,"SURDO 22"" GALVANIZADO  (2 NYLON)","22"" ","50 x 22""",$ 4.566,
G006,"SURDO 24 "" GALVANIZADO (2 NYLON)","24""","50 x 24""",$ 4.853,
G007,BOMBO FUZILEIRO  (2 NYLONS) ,"20""","20 x 20""",$ 4.160,
G008,BOMBO FUZILEIRO  (2 NYLONS) ,"22""","30 x 22""",$ 4.273,
G009,"CAIXA 12"" GALVANIZADA","12""","20 x 12""",$ 1.851,
G010,"CAIXA 14"" GALVANIZADA","14""","17 x 14""",$ 2.087,
G011,"TAROL 12"" GALVANIZADO","12""","10 x 12""",$ 1.840,
G012,"TAROL 14"" GALVANIZADO","14""","10 x 14""",$ 1.915,
G013,"REPINIQUE 12"" GALVANIZADO","12""","30 x 12""",$ 1.851,
G015,REPIQUE,"14""","30 x 14""",$ 2.150,
G014,REPIQUE DE MÃO ( ARO CONFORTÁVEL),"10""","30 x 10""",$ 1.650,
G015,TANTAN ARO CONFORTÁVEL ( RETA ),"12""","45  x 12""",$ 2.717,
G016,TANTAN ARO CONFORTÁVEL ( RETA ),"14""","70 x 14""",$ 2.854,
G017,REBOLO ARO CONFORTÁVEL ( CÔNICO ),"12""","45 x 12""",$ 2.717,
G018,REBOLO ARO CONFORTÁVEL ( CÔNICO ),"12""","60 x 12""",$ 2.851,
,COURO ARQUILHADO NA MADEIRA,,,,categoria
M001,"COURO 12""  ARQUILHADO NA MADEIRA","12""",,$ 800,
M002,"COURO 14""  ARQUILHADO NA MADEIRA","14""",,$ 926,
M003,"COURO 16"" ARQUILHADO NA MADEIRA","16""",,$ 1.051,
M004,"COURO 18"" ARQUILHADO NA MADEIRA","18""",,$ 1.113,
M005,"COURO 20"" ARQUILHADO NA MADEIRA","20"" ",,$ 1.176,
M006,"COURO 22"" ARQUILHADO NA MADEIRA","22"" ",,$ 1.238,
M007,"COURO 24"" ARQUILHADO NA MADEIRA","24"" ",,$ 1.301,
M008,"COURO 26"" ARQUILHADO NA MADEIRA","26""",,$ 1.364,
M009,"COURO 29"" ARQUILHADO NA MADEIRA","29""",,$ 1.426,
M010,"COURO DE CUÍCA 6,5"" ARQUILHADO NA MADEIRA","6,5""",,$ 738,
M011,"COURO DE CUÍCA 8"" ARQUILHADO NA MADEIRA","8""",,$ 800,
M012,"COURO DE CUÍCA 9,5"" ARQUILHADO NA MADEIRA","9,5""",,$ 863,
M013,"COURO DE CUÍCA 10"" ARQUILHADO NA MADEIRA","10""",,$ 863,
COURO ARQUILHADO NO ALUMÍNIO,,,,,categoria
CA001,"COURO 10"" ARQUILHADO NO ALUMÍNIO","10""",,$ 572,
CA002,"COURO 11"" ARQUILHADO NO ALUMÍNIO",11,,$ 594,
CA003,"COURO 12""  ARQUILHADO NO ALUMÍNIO ","12""",,$ 613,
CA004,"COURO 14""  ARQUILHADO NO ALUMÍNIO","14""",,$ 675,
CA005,"COURO 16"" ARQUILHADO NO ALUMÍNIO","16""",,$ 1.113,
CA006,"COURO 18"" ARQUILHADO NO ALUMÍNIO","18""",,$ 1.176,
CA007,"COURO 20"" ARQUILHADO NO ALUMÍNIO","20"" ",,$ 1.238,
CA008,"COURO 22"" ARQUILHADO NO ALUMÍNIO","22"" ",,$ 1.301,
CA009,"COURO 24"" ARQUILHADO NO ALUMÍNIO","24"" ",,$ 1.364,
CA010,"COURO 26"" ARQUILHADO NO ALUMÍNIO","26""",,$ 1.426,
COURO (SOLTO),,,,,categoria
CS001,COURO 30CM,30CM,,$ 525,
CS002,COURO 35CM,35CM,,$ 575,
CS003,COURO 40CM,40CM,,$ 613,
CS004,COURO 50CM,50CM,,$ 800,
CS005,COURO 60CM, 60CM,,$ 988,
CS006,COURO 65CM,65CM,,$ 1.051,
CS007,COURO 70CM,70CM,,$ 1.113,
CS008,COURO 75CM,75CM,,$ 1.176,
CS009,COURO 80CM, 80CM,,$ 1.238,
CS010,COURO 85CM,85CM,,$ 1.301,
CS011,COURO 90CM,90CM,,$ 1.301,
KING ACESSÓRIOS,,,,,
PA001,PAR DE ARO (AFINAÇÃO),"10""",,$ 746,
PA002,PAR DE ARO (AFINAÇÃO),"12""",,$ 775,
PA003,PAR DE ARO (AFINAÇÃO),"14""",,$ 832,
PA004,PAR DE ARO (AFINAÇÃO),"16""",,$ 962,
PA005,PAR DE ARO (AFINAÇÃO),"18""",,$ 1.019,
PA006,PAR DE ARO (AFINAÇÃO),"20""",,$ 1.106,
PA007,PAR DE ARO (AFINAÇÃO),"22""",,$ 1.163,
PA008,PAR DE ARO (AFINAÇÃO),"24""",,$ 1.250,
PA009,PAR DE ARO (AFINAÇÃO),"26""",,$ 1.350,
PA010,PAR DE ARO (AFINAÇÃO),"29""",,$ 1.552,
KING ACESSÓRIOS,,,,,categoria
AC001,"ARO CONFORTÁVEL 10""","10""",,$ 500,
AC002,"ARO CONFORTÁVEL 11""","11""",,$ 575,
AC003,"ARO CONFORTÁVEL 12""","12""",,$ 613,
ACOO4 ARO CONFORTÁVEL 14,,14,,$ 675,
,ARO CUÍCA ,10,,$ 1.301,
N001,PELE LEITOSA,"06""",King,$ 113,
N002,PELE LEITOSA,"08""",King,$ 129,
N003,PELE LEITOSA,"10""",King,$ 140,
N004,PELE LEITOSA,"11""",King,$ 151,
N005,PELE LEITOSA,"12""",King,$ 180,
N006,PELE LEITOSA,"13""",King,$ 194,
N007,PELE LEITOSA,"14""",King,$ 205,
N008,PELE LEITOSA,"16""",King,$ 324,
N009,PELE LEITOSA,"18""",King,$ 604,
N010,PELE LEITOSA,"20""",King,$ 691,
N011 ,PELE LEITOSA,22,KING,$ 777,
N012,PELE LEITOSA,24,KING,$ 863,
,PELE LEITOSA,26,KING,$ 1.089,
,PELE MUDA ,6,,$ 282,
,PELE MUDA ,12,,$ 375,
CAPAS ESPECIAIS,,,,,categoria
B001,CAIXA DE GUERRA,,"20 x 10""",$ 863,
B002,CAIXA DE GUERRA,,"20 x 12""",$ 951,
B003,CAIXA DE GUERRA,,"20 x 14""",$ 1.051,
B004,"CUÍCA 6,5""",,"20 x 7""",$ 976,
B005,"CUÍCA 8""",,"27 x 8""",$ 976,
B006,"CUÍCA 9,5""",,"30 x 9,5""  ",$ 1.013,
B007,"CUÍCA 10""",,"30 x 10""",$ 1.013,
B008,"PANDEIRO 10""",,"5 x 10""",$ 675,
B009,"PANDEIRO 11""",,"5 x 11""",$ 738,
B010,"PANDEIRO 12""",,"5 x 12""",$ 775,
B011,REPIQUE DE MÃO,,"30 x 10""",$ 1.001,
B012,REPIQUE DE MÃO,,"30 x 11""",$ 1.026,
B013,REPIQUE DE ANEL,,"30 x 12""",$ 988,
B014,REBOLO ,,"45 x 10""",$ 1.051,
B015,REBOLO ,,"45  x 12""",$ 1.076,
B016,REBOLO ,,"50 x 11""",$ 1.113,
E017,REBOLO ,,"45 x 12""",$ 885,
B017,REBOLO ,,"55 x 12""",$ 1.176,
B018,REBOLO ,,"60 x 12""",$ 1.238,
B019,SURDO,,"50/60 x 18""",$ 1.426,
B020,SURDO,,"50/60 x 20""",$ 1.489,
B021,SURDO,,"50/60 x 22""",$ 1.551,
B022,SURDO,,"50/60 x 24""",$ 1.614,
B023,TANTAN,,"45 x 12""",$ 1.051,
B024,TANTAN,,"70 x 14""",$ 1.301,
B025,TIMBAL,,"70 x 12""",$ 1.238,
B026,TIMBAL,,"90 x 14""",$ 1.426,
B027,TAMBORIM,,"5 x 6""",$ 675,
B028,TAROL,,"10 x 12""",$ 901,
B029,TAROL,,"10 x 14""",$ 938,
B030,RECO RECO,,,$ 675,
,CAPA,,90X12,$ 1.426,
B031,CHOCALHO,,,$ 800,
B032,TAMBORICA 6 TAMBORINS,,,$ 1.551,
B033,TAMBORICA 8 TAMBORINS,,,$ 1.801,
,PANDEIROS,,,,categoria
,"PANDEIRO 10"" PLATINELA DE METAL",,,$ 3.503,
,"PANDEIRO 11"" PLATINELA DE METAL",,,$ 3.753,
,"PANDEIRO 12"" PLATINELA DE METAL",,,$ 4.003,
KING ACESSÓRIOS,,,,,categoria
V001,TIRANTE DE AFINAÇÃO,71cm,,$ 86,
V002,TIRANTE DE AFINAÇÃO,61cm,,$ 76,
V003,TIRANTE DE AFINAÇÃO,49 cm,,$ 66,
V004,TIRANTE DE AFINAÇÃO,31 cm,,$ 56,
V005,TIRANTE DE AFINAÇÃO,21 cm,,$ 47,
V006,TIRANTE DE AFINAÇÃO,11 cm,,$ 34,
V007,TIRANTE DE CUÍCA 21cm,,,$ 150,
V008,TIRANTE DE CUÍCA 25cm,,,$ 169,
V009,TIRANTE DE TAMBORIM COM PORCA,,,$ 66,
V010,PORCA BAIXA (METAL),,,$ 19,
V011,PORCA BAIXA (FERRO),,,$ 15,
V012,PORCA DE CUÍCA (ALTA),,,$ 38,
V013,ESTICADOR PARA CAIXA,,,$ 113,
V014,MACETAS  2ª 3ª,,,$ 180,
V015,MACETAS  1ª CABO GRANDE,,,$ 206,
,MOLA RECO UNIDADE,,,$ 94,
,BAQUETA DE AGOGÔ PAR,,,$ 94,
,BAQUETA MOR UNIDADE,,,$ 94,
,BAQUETA COTONETE 5 HASTES,,,$ 469,
,BAQUETA COTONETE 2 HASTES,,,$ 282,
,BAQUETA COTONETE 3 HARTES,,,$ 375,
,BAQUETA COTENETE 4 HASTER,,,$ 375,
,BAQUETA COTONETE 3 HARTES ,40CM,,$ 469,
,BAQUETA TRADICIONAL 3 HASTER ,45CM,,$ 469,
,BAQUETA NYLON 4 HASTER,,,$ 469,
,BAQUETA BACURINHA 1 HASTER,,,$ 188,
V016,BAQUETA DE CAIXA E REPINIQUE (PAR),,,$ 69,
,ARQUILHA DE MADEIRA CUÍCA,,,$ 131,
V017,ARQUILHA DE MADEIRA,,,$ 225,
V018,TALABARTE SIMPLES (CORES DIVERSAS),,,$ 180,
V019,BORDÃO,,,$ 56,
V020,TALABARTE DE SURDO,,,$ 259,
V021,TALABARTE ACOLCHOADO TRANSPASSADO,,,$ 225,
V022,TALABARTE DE CINTURA SIMPLES,,,$ 197,
V023,TALABARTE DE CINTURA  ACOLCHOADO,,,$ 235,
V024,TALABARTE DE CUÍCA,,,$ 324,
V025,BAQUETA DE FRIGIDEIRA,,,$ 324,
V026,BAQUETA DE TAMBORIM SIMPLES,,,$ 281,
V027,BAQUETA DE TAMBORIM COTONETE,,,$ 563,
V028,CARRAPETA DE CAIXA,,,$ 66,
V029,PALITO DE CUÍCA,,,$ 94,
V030,BORBOLETA DE SURDO ,,,$ 113,
V031,BORBOLETA DE TRIPÉ,,,$ 94,
,ACESSORIO PARA SURDO JOGO C/3,,,$ 1.689,
,GARRINHA TAMBORIM ,,,$ 75,
V032,SUPORTE PARA CAIXA,,,$ 5.349,
V033,SUPORTE PARA REBOLO,,,$ 5.349,
V034,CHAVE DE AFINAÇÃO (CROMADA),,,$ 1.126,
V035,CHAVE DE TAMBORIM,,,$ 94,
,CHAVE ESPECIAL PARA TAMBORIM ,,,$ 375,
V036,JOGO DE PLATINELA EM LATÃO,,,$ 169,
,TRIPÉ PARA SURDO,,,$ 2.658,
,"BOJO SURDO 18""",,,$ 2.201,
,"BOJO SURDO 20""",,,$ 2.327,
,"BOJO SURDO 22""",,,$ 2.577,
,"BOJO SURDO 24""",,,$ 2.827,
